KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52322029,0,,,13,8,5,0,0,0,13,8,5,8,5,3,13,8,5,12,7,5,5,3,2,3,1,2,1,0,1,0,0,0,0,0,0,4,4,0,2,0,1,1,0,0,4,3,1,0,4,0,0,1
52322030,2,52322031,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52322031,1,,52322030,1178,584,594,167,92,75,1008,488,520,631,317,314,984,478,506,971,473,498,377,171,206,212,88,124,75,30,45,6,0,6,14,5,9,483,483,125,173,85,68,22,6,5,355,305,50,38,246,6,66,72
52322032,0,,,751,389,362,116,57,59,615,316,299,424,224,200,595,305,290,586,301,285,191,92,99,63,30,33,16,6,10,1,0,1,11,9,2,335,335,120,93,61,49,9,1,2,210,190,20,30,123,18,31,44
52322033,0,,,232,115,117,17,11,6,214,103,111,113,58,55,208,99,109,207,99,108,101,45,56,45,18,27,13,5,8,1,0,1,1,0,1,100,100,23,44,19,8,5,0,1,77,69,8,5,65,0,20,18
52322034,0,,,473,226,247,58,35,23,415,191,224,226,108,118,401,182,219,396,180,216,189,83,106,96,35,61,33,7,26,8,0,8,12,0,12,189,189,58,54,35,24,10,2,6,129,92,37,19,121,10,33,33
52322035,0,,,18,8,10,0,0,0,18,8,10,10,5,5,18,8,10,18,8,10,8,3,5,6,2,4,1,1,0,0,0,0,0,0,0,7,7,2,3,0,1,0,1,0,5,4,1,0,6,0,1,2
52322036,0,,,21,9,12,2,0,2,19,9,10,5,3,2,19,9,10,19,9,10,14,6,8,9,4,5,4,1,3,0,0,0,0,0,0,10,10,3,4,2,1,0,0,0,7,5,2,0,9,0,2,4
52322037,1,,52322046,14,7,7,2,1,1,17,8,9,11,6,5,17,8,9,17,8,9,6,2,4,5,1,4,5,1,4,0,0,0,0,0,0,7,7,6,0,1,1,0,1,0,3,1,2,0,5,0,3,0
52322038,1,,52322049,28,11,17,0,0,0,32,14,18,18,9,9,31,14,17,31,14,17,14,5,9,10,2,8,4,1,3,0,0,0,0,0,0,14,14,6,7,4,0,0,0,0,11,11,0,0,11,0,3,4
52322041,0,,,385,175,210,50,24,26,335,151,184,233,105,128,318,141,177,314,138,176,102,46,56,53,20,33,21,5,16,1,0,1,33,4,29,170,170,71,36,29,23,6,2,3,98,78,20,15,68,37,19,17
52322042,0,,,1174,547,627,154,76,78,1019,470,549,636,301,335,974,445,529,953,436,517,383,169,214,187,74,113,58,19,39,4,1,3,16,10,6,507,507,153,181,91,47,20,12,3,350,311,39,38,269,15,88,80
52322043,0,,,1485,650,835,172,79,93,1308,567,741,725,338,387,1266,551,715,1248,538,710,583,229,354,337,113,224,131,33,98,24,3,21,54,12,42,662,661,246,205,114,61,22,10,3,410,351,59,46,376,36,140,96
52322044,0,,,2053,974,1079,253,124,129,1791,842,949,993,508,485,1733,809,924,1706,800,906,798,334,464,460,173,287,179,54,125,14,2,12,17,4,13,910,908,310,327,135,79,43,10,4,593,509,84,72,519,8,190,143
52322045,0,,,276,145,131,20,10,10,255,134,121,165,92,73,245,127,118,243,126,117,90,42,48,40,14,26,9,4,5,0,0,0,2,0,2,144,144,64,50,18,6,3,2,1,80,73,7,5,62,0,20,25
52322046,2,52322037,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52322047,0,,,24,11,13,1,1,0,23,10,13,10,4,6,23,10,13,22,9,13,13,6,7,5,2,3,1,0,1,0,0,0,0,0,0,12,12,4,5,2,1,0,0,0,8,7,1,1,9,0,3,4
