KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52330002,1,,52330012,21,11,10,1,0,1,21,11,10,8,5,3,20,10,10,19,9,10,13,6,7,6,2,4,4,2,2,1,0,1,0,0,0,8,8,2,4,2,0,0,1,0,7,6,1,0,7,0,2,3
52330003,0,,,44,25,19,11,8,3,33,17,16,22,12,10,31,15,16,30,14,16,11,5,6,6,3,3,3,2,1,0,0,0,0,0,0,11,11,0,3,1,4,1,0,2,11,5,6,2,9,0,0,2
52330004,1,,52330005,18,9,9,0,0,0,20,11,9,7,6,1,20,11,9,20,11,9,13,5,8,5,2,3,2,0,2,0,0,0,0,0,0,8,8,3,5,1,1,0,0,0,7,7,0,0,8,0,2,3
52330005,2,52330004,,2,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52330006,0,,,31,16,15,4,2,2,27,14,13,15,8,7,26,13,13,24,12,12,12,6,6,8,4,4,5,3,2,0,0,0,0,0,0,8,8,1,2,1,0,2,1,1,7,2,5,1,7,0,1,1
52330007,0,,,33,15,18,5,3,2,28,12,16,17,6,11,27,12,15,26,12,14,11,6,5,4,1,3,1,0,1,0,0,0,0,0,0,11,11,2,4,0,2,3,0,0,9,7,2,0,7,0,2,2
52330008,0,,,129,57,72,6,1,5,123,56,67,63,34,29,120,54,66,120,54,66,60,22,38,37,11,26,17,4,13,0,0,0,0,0,0,51,51,12,17,11,7,2,2,0,39,23,16,2,40,0,8,9
52330009,0,,,38,17,21,3,0,3,35,17,18,25,12,13,35,17,18,35,17,18,10,5,5,3,2,1,0,0,0,0,0,0,2,1,1,16,16,4,7,2,1,2,0,0,12,10,2,1,7,0,2,2
52330010,1,,52330020,16,8,8,2,1,1,24,12,12,10,6,4,24,12,12,24,12,12,14,6,8,10,5,5,3,2,1,0,0,0,0,0,0,7,7,1,5,3,0,0,1,0,9,7,2,0,9,0,1,3
52330012,2,52330002,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52330014,0,,,26,15,11,0,0,0,26,15,11,13,8,5,25,14,11,25,14,11,13,7,6,8,4,4,4,1,3,0,0,0,0,0,0,11,11,3,2,5,1,0,0,0,8,4,4,0,10,0,3,0
52330015,0,,,165,72,93,15,4,11,150,68,82,82,41,41,148,68,80,145,67,78,68,27,41,37,12,25,23,6,17,0,0,0,0,0,0,68,68,20,24,11,6,3,3,1,48,33,15,3,48,0,14,8
52330016,0,,,30,14,16,1,0,1,29,14,15,8,6,2,28,13,15,28,13,15,21,8,13,10,3,7,5,2,3,1,0,1,1,1,0,14,14,5,4,4,0,1,0,0,9,7,2,0,14,0,5,3
52330017,0,,,23,9,14,5,2,3,18,7,11,8,4,4,18,7,11,18,7,11,10,3,7,7,1,6,4,1,3,0,0,0,0,0,0,10,10,4,1,3,2,0,0,0,6,4,2,1,7,0,4,1
52330018,0,,,69,34,35,13,6,7,56,28,28,30,17,13,54,27,27,51,25,26,26,11,15,13,6,7,4,0,4,1,0,1,0,0,0,18,18,1,6,3,2,2,1,3,17,11,6,3,15,0,1,4
52330019,0,,,308,128,180,4,4,0,304,124,180,82,46,36,302,122,180,301,122,179,222,78,144,143,42,101,90,21,69,20,5,15,1,0,1,16,10,2,4,1,1,2,0,0,8,5,3,0,6,0,1,2
52330020,2,52330010,,10,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52330023,2,52330024,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52330024,1,,52330023,8,3,5,0,0,0,12,5,7,5,2,3,12,5,7,12,5,7,7,3,4,7,3,4,2,1,1,1,1,0,0,0,0,3,3,1,3,0,0,1,0,0,4,2,2,0,4,0,1,2
52330025,0,,,110,51,59,11,7,4,99,44,55,48,23,25,96,43,53,95,43,52,51,21,30,28,11,17,15,4,11,1,0,1,0,0,0,49,49,15,16,11,6,0,1,0,34,26,8,3,32,0,9,6
52330026,0,,,27,10,17,0,0,0,27,10,17,11,4,7,25,10,15,24,10,14,16,6,10,8,2,6,3,1,2,0,0,0,0,0,0,15,15,7,5,2,1,0,0,0,8,7,1,0,11,0,7,3
52330028,0,,,35,20,15,1,1,0,34,19,15,15,11,4,34,19,15,34,19,15,19,8,11,12,6,6,6,3,3,1,1,0,0,0,0,14,14,2,5,5,2,0,0,0,12,10,2,0,12,0,2,1
52330029,0,,,201,105,96,19,13,6,182,92,90,86,51,35,174,87,87,173,86,87,96,41,55,55,20,35,22,4,18,5,0,5,2,0,2,84,84,25,32,12,7,4,1,3,58,44,14,4,62,0,15,23
